# dataset: address-rules
# source: google-address-data-service
# authority: Google, the Address Data Service the libaddressinput project names
# origin: ssl-address/data/<territory>, the live service record for every territory it lists
# pin: 2026-08-10
# published: 2026-08-10
# licence: CC-BY-4.0
# licence-url: https://creativecommons.org/licenses/by/4.0/
# licence-note: the libaddressinput repository states verbatim that its data is licensed under the CC-BY 4.0
# licence-verified: 2026-08-10
# cadence: ad hoc
# compiled-in: true
# columns: territory,format,required,postcode
AC	%N%n%O%n%A%n%C%n%Z		ASCN 1ZZ
AD	%N%n%O%n%A%n%Z %C		AD[1-7]0\d
AE	%N%n%O%n%A%n%S	AS	
AF	%N%n%O%n%A%n%C%n%Z		\d{4}
AG		A	
AI	%N%n%O%n%A%n%C%n%Z		(?:AI-)?2640
AL	%N%n%O%n%A%n%Z%n%C		\d{4}
AM	%N%n%O%n%A%n%Z%n%C%n%S		(?:37)?\d{4}
AO			
AQ			
AR	%N%n%O%n%A%n%Z %C%n%S		[A-HJ-NP-Z]\d{4}[A-Z]{3}
AS	%N%n%O%n%A%n%C %S %Z	ACSZ	(96799)(?:[ \-](\d{4}))?
AT	%O%n%N%n%A%n%Z %C	ACZ	\d{4}
AU	%O%n%N%n%A%n%C %S %Z	ACSZ	\d{4}
AW			
AX	%O%n%N%n%A%nAX-%Z %C%nÅLAND	ACZ	22\d{3}
AZ	%N%n%O%n%A%nAZ %Z %C		\d{4}
BA	%N%n%O%n%A%n%Z %C		\d{5}
BB	%N%n%O%n%A%n%C, %S %Z		BB\d{5}
BD	%N%n%O%n%A%n%C - %Z		\d{4}
BE	%O%n%N%n%A%n%Z %C	ACZ	\d{4}
BF	%N%n%O%n%A%n%C %X		
BG	%N%n%O%n%A%n%Z %C		\d{4}
BH	%N%n%O%n%A%n%C %Z		(?:1[0-2]|[1-9])\d{2}
BI			
BJ			
BL	%O%n%N%n%A%n%Z %C %X	ACZ	9[78][01]\d{2}
BM	%N%n%O%n%A%n%C %Z		[A-Z]{2} ?[A-Z0-9]{2}
