# dataset: cultures
# source: cldr
# authority: Unicode Consortium
# origin: common/main/*.xml numbers, dates gregorian, listPatterns, and personNames
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: locale,numbering,decimal,group,minimum,minusSign,plusSign,percentSign,perMille,decimalPattern,percentPattern,currencyStandard,currencyStandardAlpha,currencyAccounting,currencyAccountingAlpha,currencyUnit,dateFull,dateLong,dateMedium,dateShort,dateTimeFull,dateTimeLong,dateTimeMedium,dateTimeShort,timeMedium,timeShort,months,monthsShort,monthsStandalone,days,am,pm,listAnd,listOr,nameFormal,nameFormalSurnameFirst,nameInformal,nameSorting,nameSurnameFirst,dateTimeAtFull,dateTimeAtLong,dateTimeAtMedium,dateTimeAtShort
aa											¤#,##0.00					EEEE, MMMM dd, y	dd MMMM y	dd-MMM-y	dd/MM/yy					h:mm:ss a	h:mm a	Qunxa Garablu|Kudo|Ciggilta Kudo|Agda Baxis|Caxah Alsa|Qasa Dirri|Qado Dirri|Liiqen|Waysu|Diteli|Ximoli|Kaxxa Garablu	Qun|Nah|Cig|Agd|Cax|Qas|Qad|Leq|Way|Dit|Xim|Kax		Etleeni|Talaata|Arbaqa|Kamiisi|Gumqata|Sabti|Acaada													
aa-DJ																										|||||||Leqeeni||||																
ab		,	 							#,##0 %	#,##0.00 ¤	#,##0.00 ¤		#,##0.00 ¤	{0} {1}	EEEE, d MMMM y 'ш'.	d MMMM y 'ш'.	d MMM y 'ш'.	dd.MM.y	{1}, {0}	{1}, {0}	{1}, {0}	{1}, {0}			Ажьырныҳəа|Жəабран|Хəажəкыра|Мшаԥы|Лаҵара|Рашəара|Ԥхынгəы|Нанҳəа|Цəыббра|Жьҭаара|Абҵара|Ԥхынҷкәын	Ажь|Жəаб|Хəажә|Мш|Лаҵ|Рашә|Ԥхынгә|Нанҳә|Цəыб|Жьҭ|Абҵ|Ԥхынҷ		Ашәахьа|Аҩаша|Ахаша|Аԥшьаша|Ахәаша|Асабша|Амҽыша			{0}-и {1}-и|||{0}-и {1}-и	{0} ма {1}|||{0} ма {1}						{1}, {0} 'аҿы'	{1}, {0} 'аҿы'		
af		,	 								¤#,##0.00		¤#,##0.00;(¤#,##0.00)	¤ #,##0.00;(¤ #,##0.00)		EEEE dd MMMM y	dd MMMM y	dd MMM y								Januarie|Februarie|Maart|April|Mei|Junie|Julie|Augustus|September|Oktober|November|Desember	Jan.|Feb.|Mrt.|Apr.||Jun.|Jul.|Aug.|Sep.|Okt.|Nov.|Des.		Maandag|Dinsdag|Woensdag|Donderdag|Vrydag|Saterdag|Sondag			{0} en {1}|||{0} en {1}	{0} of {1}|||{0} of {1}	{title} {forename} {forename2} {surname} {generation}, {credentials}	{surname} {forename} {forename2} {credentials}	{forename} {surname}	{surname}, {forename} {forename2}		{1} 'om' {0}	{1} 'om' {0}		
af-NA																EEEE d MMMM y	d MMMM y	d MMM y						h:mm:ss a	h:mm a																	
agq		,	 								#,##0.00¤	#,##0.00 ¤				EEEE d MMMM y	d MMMM y	d MMM, y	d/M/y							ndzɔ̀ŋɔ̀nùm|ndzɔ̀ŋɔ̀kƗ̀zùʔ|ndzɔ̀ŋɔ̀tƗ̀dʉ̀ghà|ndzɔ̀ŋɔ̀tǎafʉ̄ghā|ndzɔ̀ŋèsèe|ndzɔ̀ŋɔ̀nzùghò|ndzɔ̀ŋɔ̀dùmlo|ndzɔ̀ŋɔ̀kwîfɔ̀e|ndzɔ̀ŋɔ̀tƗ̀fʉ̀ghàdzughù|ndzɔ̀ŋɔ̀ghǔuwelɔ̀m|ndzɔ̀ŋɔ̀chwaʔàkaa wo|ndzɔ̀ŋèfwòo	nùm|kɨz|tɨd|taa|see|nzu|dum|fɔe|dzu|lɔm|kaa|fwo		tsuʔukpà|tsuʔughɔe|tsuʔutɔ̀mlò|tsuʔumè|tsuʔughɨ̂m|tsuʔndzɨkɔʔɔ|tsuʔntsɨ													
ak											¤#,##0.00		¤#,##0.00;(¤#,##0.00)	¤ #,##0.00;(¤ #,##0.00)		EEE, d, MMMM, y	d, MMMM, y	d, MMM, y	d/M/yy	{1}, {0}	{1}, {0}	{1}, {0}	{1}, {0}	h:mm:ss a	h:mm a	Ɔpɛpɔn|Ɔgyefoɔ|Ɔbɛnem|Oforisuo|Kɔtɔnimma|Ayɛwohomumu|Kutawonsa|Ɔsanaa|Ɛbɔ|Ahinime|Obubuo|Ɔpɛnimma			Dwoada|Benada|Wukuada|Yawoada|Fiada|Memeneda|		ANW	{0} ne {1}|||{0}, ne {1}	{0} anaa {1}|||{0}, anaa {1}						{1} 'wɔ' {0}	{1} 'wɔ' {0}		
am											¤#,##0.00		¤#,##0.00;(¤#,##0.00)	¤ #,##0.00;(¤ #,##0.00)		EEEE d MMMM y	d MMMM y	d MMM y	dd/MM/y					h:mm:ss a	h:mm a	ጃንዋሪ|ፌብሩዋሪ|ማርች|ኤፕሪል|ሜይ|ጁን|ጁላይ|ኦገስት|ሴፕቴምበር|ኦክቶበር|ኖቬምበር|ዲሴምበር	ጃን|ፌብ||ኤፕሪ||||ኦገስ|ሴፕቴ|ኦክቶ|ኖቬም|ዲሴም		ሰኞ|ማክሰኞ|ረቡዕ|ሐሙስ|ዓርብ|ቅዳሜ|እሑድ			{0} እና {1}|{0}፣ {1}|{0}፣ {1}|{0} እና {1}	{0} ወይም {1}|{0}፣ {1}|{0}፣ {1}|{0} ወይም {1}									
an		,	.								#,##0.00 ¤	#,##0.00 ¤	¤#,##0.00;(¤#,##0.00)	¤ #,##0.00;(¤ #,##0.00)	{0} {1}	EEEE, d MMMM 'de' y	d MMMM 'de' y	d MMM y	d/M/yy	{1} 'a' 'las' {0}	{1} 'a' 'las' {0}	{1}, {0}		H:mm:ss	H:mm	de chinero|de febrero|de marzo|d’abril|de mayo|de chunyo|de chuliol|d’agosto|de setiembre|d’octubre|de noviembre|d’aviento	chi.|feb.|mar.|abr.|may.|chn.|chl.|ago.|set.|oct.|nov.|avi.	chinero|febrero|marzo|abril|mayo|chunyo|chuliol|agosto|setiembre|octubre|noviembre|aviento	luns|martz|miercres|chueves|viernes|sabado|dominche			{0} y {1}|||{0} y {1}	{0} u {1}|||{0} u {1}									
apc																										كانون التاني|شباط|أذار|نيسان|أيار|حزيران|تموز|آب|أيلول|تشرين الأول|تشرين التاني|كانون الأول			التنين|التلاتا|الأربعا|الخميس|الجمعة|السبت|الأحد	صباحا	مساء											
