# dataset: currencies-historic
# source: six-iso-4217-list-three
# authority: SIX Financial Information AG, ISO 4217 maintenance agency
# origin: list-three.xml
# pin: 2026-01-01
# published: 2026-01-01
# licence: published-free-of-charge
# licence-url: https://www.six-group.com/en/products-services/financial-information/data-standards.html
# licence-note: the maintenance agency states it makes the code lists available online and free of charge
# licence-verified: 2026-07-26
# cadence: on ISO 4217 amendment
# compiled-in: true
# columns: code,numeric,withdrawnStart,withdrawnEnd
ADP	020	2003-07	2003-07
AFA	004	2003-01	2003-01
ALK	008	1989-12	1989-12
ANG	532	2025-03	2025-03
AOK	024	1991-03	1991-03
AON	024	2000-02	2000-02
AOR	982	2000-02	2000-02
ARA	032	1992-01	1992-01
ARP	032	1985-07	1985-07
ARY	032	1989-01	1990-12
ATS	040	2002-03	2002-03
AYM	945	2005-10	2005-10
AZM	031	2005-12	2005-12
BAD	070	1998-07	1998-07
BEC	993	1990-03	1990-03
BEF	056	2002-03	2002-03
BEL	992	1990-03	1990-03
BGJ	100	1989-01	1990-12
BGK	100	1989-01	1990-12
BGL	100	2003-11	2003-11
BGN	975	2026-01	2026-01
BOP	068	1987-02	1987-02
BRB	076	1986-03	1986-03
BRC	076	1989-02	1989-02
BRE	076	1993-03	1993-03
BRN	076	1990-03	1990-03
BRR	987	1994-07	1994-07
BUK	104	1990-02	1990-02
BYB	112	2001-01	2001-01
BYR	974	2017-01	2017-01
CHC	948	2004-11	2004-11
CSD	891	2006-10	2006-10
CSJ	203	1989-01	1990-12
CSK	200	1993-03	1993-03
CUC	931	2021-06	2021-06
CYP	196	2008-01	2008-01
DDM	278	1990-07	1990-09
DEM	276	2002-03	2002-03
ECS	218	2000-09	2000-09
ECV	983	2000-09	2000-09
EEK	233	2011-01	2011-01
ESA	996	1978-01	1981-12
ESB	995	1994-12	1994-12
ESP	724	2002-03	2002-03
EUR	978	2006-10	2006-10
FIM	246	2002-03	2002-03
FRF	250	2002-03	2002-03
GEK	268	1995-10	1995-10
GHC	288	2008-01	2008-01
GHP	939	2007-06	2007-06
GNE	324	1989-12	1989-12
GNS	324	1986-02	1986-02
GQE	226	1986-06	1986-06
GRD	300	2002-03	2002-03
GWE	624	1978-01	1981-12
GWP	624	1997-05	1997-05
HRD	191	1995-01	1995-01
HRK	191	2015-06	2015-06
IDR	360	2002-07	2002-07
IEP	372	2002-03	2002-03
ILP	376	1978-01	1981-12
ILR	376	1989-01	1990-12
ISJ	352	1989-01	1990-12
ITL	380	2002-03	2002-03
LAJ	418	1979-12	1979-12
LSM	426	1985-05	1985-05
LTL	440	2014-12	2014-12
LTT	440	1993-07	1993-07
LUC	989	1990-03	1990-03
LUF	442	2002-03	2002-03
LUL	988	1990-03	1990-03
LVL	428	2014-01	2014-01
LVR	428	1994-12	1994-12
MGF	450	2004-12	2004-12
MLF	466	1984-11	1984-11
MRO	478	2017-12	2017-12
MTL	470	2008-01	2008-01
MTP	470	1983-06	1983-06
MVQ	462	1989-12	1989-12
MWK	454	2016-02	2016-02
MXP	484	1993-01	1993-01
MZE	508	1978-01	1981-12
MZM	508	2006-06	2006-06
NIC	558	1990-10	1990-10
NLG	528	2002-03	2002-03
PEH	604	1989-01	1990-12
PEI	604	1991-07	1991-07
PEN	604	2015-12	2015-12
PES	604	1986-02	1986-02
PLZ	616	1997-01	1997-01
PTE	620	2002-03	2002-03
RHD	716	1978-01	1981-12
ROK	642	1989-01	1990-12
ROL	642	2005-06	2005-06
RON	946	2015-06	2015-06
RUR	810	1994-08	1994-08
SDD	736	2007-07	2007-07
SDG	938	2012-09	2012-09
SDP	736	1998-06	1998-06
SIT	705	2007-01	2007-01
SKK	703	2009-01	2009-01
SLL	694	2023-12	2023-12
SRG	740	2003-12	2003-12
STD	678	2017-12	2017-12
SUR	810	1990-12	1990-12
SZL	748	2018-08	2018-08
TJR	762	2001-04	2001-04
TMM	795	2009-01	2009-01
TPE	626	2002-11	2002-11
TRL	792	2005-12	2005-12
TRY	949	2009-01	2009-01
UAK	804	1996-09	1996-09
UGS	800	1987-05	1987-05
UGW	800	1989-01	1990-12
USS	998	2014-03	2014-03
UYN	858	1989-12	1989-12
UYP	858	1993-03	1993-03
VEB	862	2008-01	2008-01
VEF	937	2011-12	2011-12
VNC	704	1989-01	1990-12
XEU	954	1999-01	1999-01
XFO		2006-10	2006-10
XFU		2013-11	2013-11
XRE		1999-11	1999-11
YDD	720	1991-09	1991-09
YUD	890	1990-01	1990-01
YUM	891	2003-07	2003-07
YUN	890	1995-11	1995-11
ZAL	991	1995-03	1995-03
ZMK	894	2012-12	2012-12
ZRN	180	1999-06	1999-06
ZRZ	180	1994-02	1994-02
ZWC	716	1989-12	1989-12
ZWD	716	2006-08	2006-08
ZWL	932	2024-09	2024-09
ZWN	942	2006-09	2006-09
ZWR	935	2009-06	2009-06
