# dataset: iban-registry
# source: iban-registry
# authority: SWIFT, ISO 13616 registration authority
# origin: IBAN Registry release 102
# pin: 102
# published: 102
# licence: published-without-stated-terms
# licence-url: https://www.swift.com/standards/data-standards/iban-international-bank-account-number
# licence-note: published openly by SWIFT, ISO 13616 registration authority and redistributed with that credit
# licence-verified: 2026-07-26
# cadence: ad hoc
# compiled-in: true
# columns: country,ibanLength,bbanStructure,bankPosition,branchPosition,sepa,example
AD	24	AD2!n4!n4!n12!c	1-4	5-8	yes	AD1200012030200359100100
AE	23	AE2!n3!n16!n	1-3		no	AE070331234567890123456
AL	28	AL2!n8!n16!c	1-3	4-8	no	AL47212110090000000235698741
AT	20	AT2!n5!n11!n	1-5		yes	AT611904300234573201
AZ	28	AZ2!n4!a20!c	1-4		no	AZ21NABZ00000000137010001944
BA	20	BA2!n3!n3!n8!n2!n	1-3	4-6	no	BA391290079401028494
BE	16	BE2!n3!n7!n2!n	1-3		yes	BE68539007547034
BG	22	BG2!n4!a4!n2!n8!c	1-4	5-8	yes	BG80BNBG96611020345678
BH	22	BH2!n4!a14!c	1-4		no	BH67BMAG00001299123456
BI	27	BI2!n5!n5!n11!n2!n	1-5	6-10	no	BI4210000100010000332045181
BR	29	BR2!n8!n5!n10!n1!a1!c	1-8	9-13	no	BR1800360305000010009795493C1
BY	28	BY2!n4!c4!n16!c	1-4		no	BY13NBRB3600900000002Z00AB00
CH	21	CH2!n5!n12!c	1-5		yes	CH9300762011623852957
CR	22	CR2!n4!n14!n	1-4		no	CR05015202001026284066
CY	28	CY2!n3!n5!n16!c	1-3	4-8	yes	CY17002001280000001200527600
CZ	24	CZ2!n4!n6!n10!n	1-4		yes	CZ6508000000192000145399
DE	22	DE2!n8!n10!n	1-8		yes	DE89370400440532013000
DJ	27	DJ2!n5!n5!n11!n2!n	1-5	6-10	no	DJ2100010000000154000100186
DK	18	DK2!n4!n9!n1!n	1-4		yes	DK5000400440116243
DO	28	DO2!n4!c20!n	1-4		no	DO28BAGR00000001212453611324
EE	20	EE2!n2!n14!n	1-2		yes	EE382200221020145685
EG	29	EG2!n4!n4!n17!n	1-4	5-8	no	EG380019000500000000263180002
ES	24	ES2!n4!n4!n1!n1!n10!n	1-4	5-8	yes	ES9121000418450200051332
FI	18	FI2!n3!n11!n	1-3		yes	FI2112345600000785
FK	18	FK2!n2!a12!n	1-2	N/A	no	FK88SC123456789012
FO	18	FO2!n4!n9!n1!n	1-4		no	FO6264600001631634
FR	27	FR2!n5!n5!n11!c2!n	1-5		yes	FR1420041010050500013M02606
GB	22	GB2!n4!a6!n8!n	1-4	5-10	yes	GB29NWBK60161331926819
GE	22	GE2!n2!a16!n	1-2		no	GE29NB0000000101904917
GI	23	GI2!n4!a15!c	1-4		yes	GI75NWBK000000007099453
GL	18	GL2!n4!n9!n1!n	1-4		no	GL8964710001000206
GR	27	GR2!n3!n4!n16!c	1-3	4-7	yes	GR1601101250000000012300695
GT	28	GT2!n4!c20!c	1-4		no	GT82TRAJ01020000001210029690
HN	28	HN2!n4!a20!n	1-4		no	HN88CABF00000000000250005469
HR	21	HR2!n7!n10!n	1-7		yes	HR1210010051863000160
HU	28	HU2!n3!n4!n1!n15!n1!n	1-3	4-7	yes	HU42117730161111101800000000
IE	22	IE2!n4!a6!n8!n	1-4	5-10	yes	IE29AIBK93115212345678
IL	23	IL2!n3!n3!n13!n	1-3	4-6	no	IL620108000000099999999
IQ	23	IQ2!n4!a3!n12!n	1-4	5-7	no	IQ98NBIQ850123456789012
IS	26	IS2!n4!n2!n6!n10!n	1-2	3-4	yes	IS140159260076545510730339
IT	27	IT2!n1!a5!n5!n12!c	2-6	7-11	yes	IT60X0542811101000000123456
JO	30	JO2!n4!a4!n18!c	1-4	5-8	no	JO94CBJO0010000000000131000302
KW	30	KW2!n4!a22!c	1-4		no	KW81CBKU0000000000001234560101
KZ	20	KZ2!n3!n13!c	1-3		no	KZ86125KZT5004100100
LB	28	LB2!n4!n20!c	1-4		no	LB62099900000001001901229114
LC	32	LC2!n4!a24!c	1-4		no	LC55HEMM000100010012001200023015
LI	21	LI2!n5!n12!c	1-5		yes	LI21088100002324013AA
LT	20	LT2!n5!n11!n	1-5		yes	LT121000011101001000
LU	20	LU2!n3!n13!c	1-3		yes	LU280019400644750000
LV	21	LV2!n4!a13!c	1-4		yes	LV80BANK0000435195001
LY	25	LY2!n3!n3!n15!n	1-3	4-6	no	LY83002048000020100120361
MC	27	MC2!n5!n5!n11!c2!n	1-5	6-10	yes	MC5811222000010123456789030
MD	24	MD2!n2!c18!c	1-2		no	MD24AG000225100013104168
ME	22	ME2!n3!n13!n2!n	1-3		no	ME25505000012345678951
MK	19	MK2!n3!n10!c2!n	1-3		no	MK07250120000058984
MN	20	MN2!n4!n12!n	1-4		no	MN121234123456789123
MR	27	MR2!n5!n5!n11!n2!n	1-5	6-10	no	MR1300020001010000123456753
MT	31	MT2!n4!a5!n18!c	1-4	5-9	yes	MT84MALT011000012345MTLCAST001S
MU	30	MU2!n4!a2!n2!n12!n3!n3!a	1-6	7-8	no	MU17BOMM0101101030300200000MUR
NI	28	NI2!n4!a20!n	1-4		no	NI45BAPR00000013000003558124
NL	18	NL2!n4!a10!n	1-4		yes	NL91ABNA0417164300
