# dataset: language-scripts
# source: cldr
# authority: Unicode Consortium
# origin: common/supplemental/supplementalData.xml languageData
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: language,scripts
aa	Latn
ab	Cyrl
abq	Cyrl Latn
abr	Latn
ace	Latn
ach	Latn
ada	Latn
ady	Cyrl
ae	Avst
aeb	Arab
af	Latn
agq	Latn
aii	Cyrl Syrc
ak	Latn
akk	Xsux
akz	Latn
ale	Latn
aln	Latn
alt	Cyrl
am	Ethi
amo	Latn
an	Latn
ang	Latn
ann	Latn
anp	Deva
aoz	Latn
apc	Arab
apd	Arab
ar	Arab Syrc
arn	Latn
aro	Latn
arp	Latn
arq	Arab
ars	Arab
arw	Latn
ary	Arab
arz	Arab
as	Beng
asa	Latn
ast	Latn
atj	Latn
av	Cyrl
avk	Latn
awa	Deva
ay	Latn
az	Latn Arab Cyrl
ba	Cyrl
bal	Arab Latn
ban	Latn Bali
bap	Deva
bar	Latn
bas	Latn
bax	Bamu
bbc	Latn Batk
bbj	Latn
bci	Latn
be	Cyrl
bej	Arab
bem	Latn
bew	Latn
bez	Latn
bfd	Latn
bfq	Taml
bft	Arab Tibt
bfy	Deva
bg	Cyrl
bgc	Deva
bgn	Arab
bgx	Grek
bhb	Deva
bhi	Deva
bho	Deva
bi	Latn
bik	Latn
bin	Latn
bjj	Deva
bjn	Latn
bjt	Latn
bkm	Latn
bku	Latn Buhd
bla	Latn
blo	Latn
blt	Tavt
bm	Latn Nkoo
bmq	Latn
bn	Beng
bo	Tibt
bpy	Beng
bqi	Arab
bqv	Latn
br	Latn
bra	Deva
brh	Arab Latn
brx	Deva
bs	Latn Cyrl
bsc	Latn
bsq	Latn Bass
bss	Latn
bto	Latn
btv	Deva
bua	Cyrl
buc	Latn
bug	Latn Bugi
bum	Latn
bvb	Latn
byn	Ethi
byv	Latn
bze	Latn
bzx	Latn
ca	Latn
cad	Latn
car	Latn
cay	Latn
cch	Latn
ccp	Cakm Beng
ccr	Latn
ce	Cyrl
ceb	Latn
cgg	Latn
ch	Latn
chk	Latn
chm	Cyrl
chn	Latn
cho	Latn
chp	Latn Cans
chr	Cher
chy	Latn
cic	Latn
cja	Arab Cham
cjm	Cham Arab
cjs	Cyrl
ckb	Arab
ckt	Cyrl
clc	Latn
co	Latn
cps	Latn
cr	Cans Latn
crg	Latn
crh	Cyrl
crj	Cans Latn
crk	Cans
crl	Cans Latn
crm	Cans
crs	Latn
cs	Latn
csb	Latn
csw	Cans
ctd	Latn
cu	Cyrl
cv	Cyrl
cy	Latn
da	Latn
dak	Latn
dar	Cyrl
dav	Latn
dcc	Arab
de	Latn Runr
del	Latn
den	Latn Cans
dgr	Latn
din	Latn
dje	Latn
dng	Cyrl
dnj	Latn
doi	Deva Arab Takr
dsb	Latn
dtm	Latn
dtp	Latn
dty	Deva
dua	Latn
dum	Latn
dv	Thaa
dyo	Latn Arab
dyu	Latn
dz	Tibt
ebu	Latn
ecy	Cprt
ee	Latn
efi	Latn
egl	Latn
egy	Egyp
eka	Latn
eky	Kali
el	Grek
en	Latn Dsrt Shaw
enm	Latn
eo	Latn
es	Latn
esu	Latn
et	Latn
eu	Latn
evn	Cyrl
ewo	Latn
ext	Latn
fa	Arab
fan	Latn
ff	Latn Adlm
ffm	Latn
fi	Latn
fia	Arab
fil	Latn Tglg
fit	Latn
fj	Latn
fo	Latn
fon	Latn
fr	Latn Dupl
frc	Latn
frm	Latn
fro	Latn
frp	Latn
frr	Latn
frs	Latn
fud	Latn
fuq	Latn
fur	Latn
fuv	Latn
fvr	Latn
fy	Latn
ga	Latn
gaa	Latn
gag	Latn Cyrl
gan	Hans
gay	Latn
gba	Latn
gbm	Deva
gbz	Arab
gcr	Latn
gd	Latn
gez	Ethi
gil	Latn
gjk	Arab
gju	Arab
gl	Latn
gld	Cyrl
glk	Arab
gmh	Latn
gmy	Linb
gn	Latn
goh	Latn
gon	Deva Telu
gor	Latn
gos	Latn
got	Goth
grb	Latn
grc	Grek
grr	Arab Tfng
grt	Beng
gsw	Latn
gu	Gujr
gub	Latn
guc	Latn
gur	Latn
guz	Latn
gv	Latn
gvr	Deva
gwi	Latn
ha	Latn Arab
hai	Latn
hak	Hans Hant
haw	Latn
haz	Arab
he	Hebr
hi	Deva Latn Mahj
hif	Deva Latn
hil	Latn
hit	Xsux
hmd	Plrd
hmn	Latn Hmng
hnd	Arab
hne	Deva
hnj	Laoo
hnn	Latn Hano
hno	Arab
ho	Latn
hoc	Deva Wara
hoj	Deva
hop	Latn
hr	Latn
hsb	Latn
hsn	Hans
ht	Latn
hu	Latn
hup	Latn
hur	Latn
hy	Armn
hz	Latn
ia	Latn
iba	Latn
ibb	Latn
id	Latn Arab
ie	Latn
ife	Latn
ig	Latn
ii	Yiii Latn
ik	Latn
ikt	Latn
ilo	Latn
inh	Cyrl Arab Latn
io	Latn
is	Latn
it	Latn
iu	Cans Latn
izh	Latn
ja	Jpan
jam	Latn
jbo	Latn
jgo	Latn
jmc	Latn
jml	Deva
jpr	Hebr
jrb	Hebr
jut	Latn
jv	Latn Java
ka	Geor
kaa	Cyrl Latn
kab	Latn
kac	Latn
kaj	Latn
kam	Latn
kao	Latn
kaw	Bali Java Kawi
kbd	Cyrl
kca	Cyrl
kcg	Latn
kck	Latn
kde	Latn
kdt	Thai
kea	Latn
ken	Latn
kfo	Latn
kfr	Deva
kfy	Deva
kg	Latn
kge	Latn
kgp	Latn
kha	Latn Beng
khb	Talu
khn	Deva
khq	Latn
kht	Mymr
khw	Arab
ki	Latn
kiu	Latn
kj	Latn
kjg	Laoo Latn
kjh	Cyrl
kk	Cyrl Arab
kkj	Latn
kl	Latn
kln	Latn
km	Khmr
kmb	Latn
kn	Knda
knf	Latn
knn	Deva
ko	Kore
koi	Cyrl
kok	Deva Latn
kos	Latn
kpe	Latn
kpy	Cyrl
kr	Latn
krc	Cyrl
kri	Latn
krj	Latn
krl	Latn
kro	Latn
kru	Deva
ks	Arab Deva
ksb	Latn
ksf	Latn
ksh	Latn
ku	Latn Arab Cyrl
kum	Cyrl
kut	Latn
kv	Cyrl Perm
kvr	Latn
kvx	Arab
kw	Latn
kwk	Latn
kxm	Thai
kxp	Arab
kxv	Latn Deva Orya Telu
ky	Cyrl Arab Latn
kyu	Kali
la	Latn
lab	Lina
lad	Hebr
lag	Latn
lah	Arab
laj	Latn
lam	Latn
lb	Latn
lbe	Cyrl
lbw	Latn
lcp	Thai
len	Latn
lep	Lepc
lez	Cyrl Aghb
lg	Latn
li	Latn
lif	Deva Limb
lij	Latn
lil	Latn
lis	Lisu
liv	Latn
ljp	Latn
lki	Arab
lkt	Latn
lld	Latn
lmn	Telu
lmo	Latn
ln	Latn
lo	Laoo
lol	Latn
loz	Latn
lrc	Arab
lt	Latn
ltg	Latn
lu	Latn
lua	Latn
lui	Latn
lun	Latn
luo	Latn
lus	Beng
lut	Latn
luy	Latn
luz	Arab
lv	Latn
lwl	Thai
lzh	Hant
lzz	Latn Geor
mad	Latn
maf	Latn
mag	Deva
mai	Deva Tirh
mak	Latn Bugi
man	Latn Nkoo
mas	Latn
maz	Latn
mdf	Cyrl
mdh	Latn
mdr	Latn Bugi
mdt	Latn
men	Latn Mend
mer	Latn
mey	Arab Latn
mfa	Arab
mfe	Latn
mfv	Latn
mg	Latn
mgh	Latn
mgo	Latn
mgp	Deva
mgy	Latn
mh	Latn
mhn	Latn
mi	Latn
mic	Latn
min	Latn
mk	Cyrl
ml	Mlym
mls	Latn
mn	Cyrl Mong Phag
mnc	Mong
mni	Beng Mtei
mns	Cyrl
mnw	Mymr
moe	Latn
moh	Latn
mos	Latn
mr	Deva Modi
mrd	Deva
mrj	Cyrl
mro	Latn Mroo
ms	Latn Arab
mt	Latn
mtr	Deva
mua	Latn
mus	Latn
mvy	Arab
mwk	Latn
mwl	Latn
mwr	Deva
mwv	Latn
mww	Latn Hmnp
mxc	Latn
my	Mymr
myv	Cyrl
myx	Latn
myz	Mand
mzb	Arab Latn
mzn	Arab
na	Latn
nan	Hans Hant
nap	Latn
naq	Latn
nb	Latn
nch	Latn
nd	Latn
ndc	Latn
nds	Latn
ne	Deva
new	Deva
ng	Latn
ngl	Latn
nhe	Latn
nhw	Latn
nia	Latn
nij	Latn
niu	Latn
njo	Latn
nl	Latn
nmg	Latn
nn	Latn
nnh	Latn
no	Latn
nod	Lana
noe	Deva
nog	Cyrl
non	Runr
nov	Latn
nqo	Nkoo
nr	Latn
nsk	Cans Latn
nso	Latn
nus	Latn
nv	Latn
nxq	Latn
ny	Latn
nym	Latn
nyn	Latn
nyo	Latn
nzi	Latn
oc	Latn
oj	Cans Latn
ojs	Cans
ojw	Latn
oka	Latn
om	Latn Ethi
or	Orya
os	Cyrl
osa	Osge Latn
otk	Orkh
pa	Guru Arab
pag	Latn
pam	Latn
pap	Latn
pau	Latn
pcd	Latn
pcm	Latn
pdc	Latn
pdt	Latn
peo	Xpeo
pfl	Latn
phn	Phnx
pi	Latn Deva Mymr Sinh Thai
pis	Latn
pko	Latn
pl	Latn
pms	Latn
pnt	Grek Cyrl Latn
pon	Latn
ppl	Latn
pqm	Latn
prd	Arab
prg	Latn
pro	Latn
ps	Arab
pt	Latn
puu	Latn
qu	Latn
quc	Latn
qug	Latn
raj	Deva
rap	Latn
rar	Latn
rcf	Latn
rej	Latn Rjng
rgn	Latn
rhg	Rohg Arab Latn
ria	Latn
rif	Latn Tfng
rjs	Deva
rkt	Beng
rm	Latn
rmf	Latn
rmo	Latn
rmt	Arab
rmu	Latn
rn	Latn
rng	Latn
ro	Latn Cyrl
rob	Latn
rof	Latn
rom	Latn Cyrl
rtm	Latn
ru	Cyrl
rue	Cyrl
rug	Latn
rup	Latn
rw	Latn
rwk	Latn
ryu	Kana
sad	Latn
saf	Latn
sah	Cyrl
saq	Latn
sas	Latn
sat	Olck Beng Deva Latn Orya
saz	Saur
sbp	Latn
sc	Latn
sck	Deva
scn	Latn
sco	Latn
scs	Latn
sd	Arab Deva Khoj Sind
sdc	Latn
sdh	Arab
se	Latn Cyrl
see	Latn
sef	Latn
seh	Latn
sei	Latn
sel	Cyrl
ses	Latn
sg	Latn
sga	Latn Ogam
sgs	Latn
shi	Tfng Latn Arab
shn	Mymr
si	Sinh
sid	Latn
sk	Latn
skr	Arab
sl	Latn
sli	Latn
sly	Latn
sm	Latn
sma	Latn
smj	Latn
smn	Latn
smp	Samr
sms	Latn
sn	Latn
snf	Latn
snk	Latn
so	Latn Arab Osma
sou	Thai
sq	Latn Elba
sr	Cyrl Latn
srb	Latn Sora
srn	Latn
srr	Latn
srx	Deva
ss	Latn
ssy	Latn
st	Latn
stq	Latn
stu	Lana Tale
su	Latn Sund
suk	Latn
sus	Latn Arab
suz	Deva Sunu
sv	Latn
sw	Latn
swb	Arab Latn
swg	Latn
swv	Deva
sxn	Latn
syi	Latn
syl	Beng Sylo
syr	Syrc
szl	Latn
ta	Taml
tab	Cyrl
taj	Deva Tibt
tbw	Latn Tagb
tcy	Knda
tdd	Tale
tdg	Deva Tibt
tdh	Deva
te	Telu
tem	Latn
teo	Latn
ter	Latn
tet	Latn
tg	Cyrl Arab Latn
th	Thai
thl	Deva
thq	Deva
thr	Deva
ti	Ethi
tig	Ethi
tiv	Latn
tk	Latn Arab Cyrl
tkl	Latn
tkr	Latn Cyrl
tkt	Deva
tli	Latn
tly	Latn Arab Cyrl
tmh	Latn
tn	Latn
tnr	Latn
to	Latn
tog	Latn
tok	Latn
tpi	Latn
tr	Latn Arab
tru	Latn Syrc
trv	Latn
trw	Arab
ts	Latn
tsd	Grek
tsg	Latn
tsi	Latn
tsj	Tibt
tt	Cyrl
ttj	Latn
tts	Thai
ttt	Latn Arab Cyrl
tum	Latn
tvl	Latn
twq	Latn
ty	Latn
tyv	Cyrl
tzm	Latn Tfng
ude	Cyrl
udm	Cyrl Latn
ug	Arab Cyrl Latn
uga	Ugar
uk	Cyrl
uli	Latn
umb	Latn
unr	Beng Deva
unx	Beng Deva
ur	Arab
uz	Latn Cyrl Arab
vai	Vaii Latn
ve	Latn
vec	Latn
vep	Latn
vi	Latn Hani
vic	Latn
vls	Latn
vmf	Latn
vmw	Latn
vo	Latn
vot	Latn
vro	Latn
vun	Latn
wa	Latn
wae	Latn
wal	Ethi
war	Latn
was	Latn
wbp	Latn
wbq	Telu
wbr	Deva
wls	Latn
wni	Arab
wo	Latn Arab
wtm	Deva
wuu	Hans
xal	Cyrl
xav	Latn
xcr	Cari
xh	Latn
xlc	Lyci
xld	Lydi
xmf	Geor
xmn	Mani
xmr	Merc
xna	Narb
xnr	Deva
xog	Latn
xpr	Prti
xsa	Sarb
xsr	Deva
yao	Latn
yap	Latn
yav	Latn
ybb	Latn
yi	Hebr
yo	Latn
yrk	Cyrl
yrl	Latn
yua	Latn
yue	Hant Hans
za	Latn Hans
zag	Latn
zap	Latn
zdj	Arab
zea	Latn
zen	Tfng
zgh	Tfng
zh	Hans Hant Bopo Latn Phag
zmi	Latn
zu	Latn
zun	Latn
zza	Latn
