# dataset: languages
# source: iana-language-subtag-registry
# authority: IANA, under BCP 47 / RFC 5646
# origin: language-subtag-registry Type: language records, with CLDR overlong aliases for the alpha-3 pairing
# pin: 2026-08-08
# published: 2026-08-08
# licence: iana-protocol-registry
# licence-url: https://www.iana.org/help/licensing-terms
# licence-note: IANA and IETF state the Protocol Registries may be freely used by any party for any purpose
# licence-verified: 2026-07-26
# cadence: ad hoc, several times per year
# compiled-in: true
# columns: subtag,alpha3
aa	aar
aaa	aaa
aab	aab
aac	aac
aad	aad
aae	aae
aaf	aaf
aag	aag
aah	aah
aai	aai
aak	aak
aal	aal
aan	aan
aao	aao
aap	aap
aaq	aaq
aas	aas
aat	aat
aau	aau
aav	aav
aaw	aaw
aax	aax
aaz	aaz
ab	abk
aba	aba
abb	abb
abc	abc
abd	abd
abe	abe
abf	abf
abg	abg
abh	abh
abi	abi
abj	abj
abl	abl
abm	abm
abn	abn
abo	abo
abp	abp
abq	abq
abr	abr
abs	abs
abt	abt
abu	abu
abv	abv
abw	abw
abx	abx
aby	aby
abz	abz
aca	aca
acb	acb
acd	acd
ace	ace
acf	acf
ach	ach
aci	aci
ack	ack
acl	acl
acm	acm
acn	acn
acp	acp
acq	acq
acr	acr
acs	acs
act	act
acu	acu
acv	acv
acw	acw
acx	acx
acy	acy
acz	acz
ada	ada
adb	adb
add	add
ade	ade
adf	adf
adg	adg
adh	adh
adi	adi
adj	adj
adl	adl
adn	adn
ado	ado
adq	adq
adr	adr
ads	ads
adt	adt
adu	adu
adw	adw
adx	adx
ady	ady
adz	adz
ae	ave
aea	aea
aeb	aeb
aec	aec
aed	aed
aee	aee
aek	aek
ael	ael
aem	aem
aen	aen
aeq	aeq
aer	aer
aes	aes
aeu	aeu
aew	aew
aey	aey
aez	aez
af	afr
afa	afa
afb	afb
afd	afd
afe	afe
afg	afg
afh	afh
afi	afi
afk	afk
afn	afn
afo	afo
afp	afp
afs	afs
aft	aft
afu	afu
afz	afz
aga	aga
agb	agb
agc	agc
agd	agd
age	age
agf	agf
agg	agg
agh	agh
agi	agi
agj	agj
agk	agk
agl	agl
agm	agm
agn	agn
ago	ago
agq	agq
agr	agr
ags	ags
agt	agt
agu	agu
agv	agv
agw	agw
agx	agx
agy	agy
agz	agz
aha	aha
ahb	ahb
ahg	ahg
ahh	ahh
ahi	ahi
ahk	ahk
ahl	ahl
ahm	ahm
ahn	ahn
aho	aho
ahp	ahp
ahr	ahr
ahs	ahs
aht	aht
aia	aia
aib	aib
aic	aic
aid	aid
aie	aie
aif	aif
aig	aig
aih	aih
aii	aii
aij	aij
aik	aik
ail	ail
aim	aim
ain	ain
aio	aio
aip	aip
aiq	aiq
air	air
ait	ait
aiw	aiw
aix	aix
aiy	aiy
aja	aja
ajg	ajg
aji	aji
ajn	ajn
ajs	ajs
aju	aju
ajw	ajw
ajz	ajz
ak	twi
akb	akb
akc	akc
akd	akd
ake	ake
akf	akf
akg	akg
akh	akh
aki	aki
akj	akj
akk	akk
akl	akl
akm	akm
ako	ako
akp	akp
akq	akq
akr	akr
aks	aks
akt	akt
aku	aku
akv	akv
akw	akw
akx	akx
aky	aky
akz	akz
ala	ala
alc	alc
ald	ald
ale	ale
alf	alf
alg	alg
alh	alh
ali	ali
alj	alj
alk	alk
all	all
alm	alm
aln	aln
alo	alo
alp	alp
alq	alq
alr	alr
als	als
alt	alt
alu	alu
alv	alv
alw	alw
alx	alx
aly	aly
alz	alz
am	amh
ama	ama
amb	amb
amc	amc
ame	ame
amf	amf
amg	amg
ami	ami
amj	amj
amk	amk
aml	aml
amm	amm
amn	amn
amo	amo
amp	amp
amq	amq
amr	amr
ams	ams
amt	amt
amu	amu
amv	amv
amw	amw
amx	amx
amy	amy
amz	amz
an	arg
ana	ana
anb	anb
anc	anc
and	and
ane	ane
anf	anf
ang	ang
anh	anh
ani	ani
anj	anj
ank	ank
anl	anl
anm	anm
ann	ann
ano	ano
anp	anp
anq	anq
anr	anr
ans	ans
ant	ant
anu	anu
anv	anv
anw	anw
anx	anx
any	any
anz	anz
aoa	aoa
aob	aob
aoc	aoc
aod	aod
aoe	aoe
aof	aof
aog	aog
aoi	aoi
aoj	aoj
aok	aok
aol	aol
aom	aom
aon	aon
aor	aor
aos	aos
aot	aot
aou	aou
aox	aox
aoz	aoz
apa	apa
apb	apb
apc	apc
apd	apd
ape	ape
apf	apf
apg	apg
aph	aph
api	api
apj	apj
apk	apk
apl	apl
apm	apm
apn	apn
apo	apo
app	app
apq	apq
apr	apr
aps	aps
apt	apt
apu	apu
apv	apv
apw	apw
apx	apx
apy	apy
apz	apz
aqa	aqa
aqc	aqc
aqd	aqd
aqg	aqg
aqk	aqk
aql	aql
aqm	aqm
aqn	aqn
aqp	aqp
aqr	aqr
aqt	aqt
aqz	aqz
ar	ara
arb	arb
arc	arc
ard	ard
are	are
arh	arh
ari	ari
arj	arj
ark	ark
arl	arl
arn	arn
aro	aro
arp	arp
arq	arq
arr	arr
ars	ars
art	art
aru	aru
arv	arv
arw	arw
arx	arx
ary	ary
arz	arz
as	asm
asa	asa
asb	asb
asc	asc
ase	ase
asf	asf
asg	asg
ash	ash
asi	asi
asj	asj
ask	ask
asl	asl
asn	asn
aso	aso
asp	asp
asq	asq
asr	asr
ass	ass
ast	ast
asu	asu
asv	asv
asw	asw
asx	asx
asy	asy
asz	asz
ata	ata
atb	atb
atc	atc
atd	atd
ate	ate
atg	atg
ath	ath
ati	ati
atj	atj
atk	atk
atl	atl
atm	atm
atn	atn
ato	ato
atp	atp
atq	atq
atr	atr
ats	ats
att	att
atu	atu
atv	atv
atw	atw
atx	atx
aty	aty
atz	atz
aua	aua
aub	aub
auc	auc
aud	aud
auf	auf
aug	aug
auh	auh
aui	aui
auj	auj
auk	auk
aul	aul
aum	aum
aun	aun
auo	auo
aup	aup
auq	auq
aur	aur
aus	aus
aut	aut
auu	auu
auw	auw
aux	aux
auy	auy
auz	auz
av	ava
avb	avb
avd	avd
avi	avi
avk	avk
avl	avl
avm	avm
avn	avn
avo	avo
avs	avs
avt	avt
avu	avu
avv	avv
awa	awa
awb	awb
awc	awc
awd	awd
awe	awe
awg	awg
awh	awh
awi	awi
awk	awk
awm	awm
awn	awn
awo	awo
awr	awr
aws	aws
awt	awt
awu	awu
awv	awv
aww	aww
awx	awx
awy	awy
axb	axb
axe	axe
axg	axg
axk	axk
axl	axl
axm	axm
axx	axx
ay	aym
aya	aya
ayb	ayb
ayc	ayc
ayd	ayd
aye	aye
ayg	ayg
ayh	ayh
ayi	ayi
ayk	ayk
ayl	ayl
ayn	ayn
ayo	ayo
ayp	ayp
ayq	ayq
ayr	ayr
ays	ays
ayt	ayt
ayu	ayu
ayz	ayz
az	aze
aza	aza
azb	azb
azc	azc
azd	azd
azg	azg
azj	azj
azm	azm
azn	azn
azo	azo
azt	azt
azz	azz
ba	bak
baa	baa
bab	bab
bac	bac
bad	bad
bae	bae
baf	baf
bag	bag
bah	bah
bai	bai
baj	baj
bal	bal
ban	ban
bao	bao
bap	bap
bar	bar
bas	bas
bat	bat
bau	bau
bav	bav
baw	baw
bax	bax
bay	bay
bba	bba
bbb	bbb
bbc	bbc
bbd	bbd
bbe	bbe
bbf	bbf
bbg	bbg
bbh	bbh
bbi	bbi
bbj	bbj
bbk	bbk
bbl	bbl
bbm	bbm
bbn	bbn
bbo	bbo
bbp	bbp
bbq	bbq
bbr	bbr
bbs	bbs
bbt	bbt
bbu	bbu
bbv	bbv
bbw	bbw
bbx	bbx
bby	bby
bca	bca
bcb	bcb
bcc	bcc
bcd	bcd
bce	bce
bcf	bcf
bcg	bcg
bch	bch
bci	bci
bcj	bcj
bck	bck
bcl	bcl
bcm	bcm
bcn	bcn
bco	bco
bcp	bcp
bcq	bcq
bcr	bcr
bcs	bcs
bct	bct
bcu	bcu
bcv	bcv
bcw	bcw
bcy	bcy
bcz	bcz
bda	bda
bdb	bdb
bdc	bdc
bdd	bdd
bde	bde
bdf	bdf
bdg	bdg
bdh	bdh
bdi	bdi
bdj	bdj
bdk	bdk
bdl	bdl
bdm	bdm
bdn	bdn
bdo	bdo
bdp	bdp
bdq	bdq
bdr	bdr
bds	bds
bdt	bdt
bdu	bdu
bdv	bdv
bdw	bdw
bdx	bdx
bdy	bdy
bdz	bdz
be	bel
bea	bea
beb	beb
bec	bec
bed	bed
bee	bee
bef	bef
beg	beg
beh	beh
bei	bei
bej	bej
bek	bek
bem	bem
beo	beo
bep	bep
beq	beq
ber	ber
bes	bes
bet	bet
beu	beu
bev	bev
bew	bew
bex	bex
bey	bey
bez	bez
bfa	bfa
bfb	bfb
bfc	bfc
bfd	bfd
bfe	bfe
bff	bff
bfg	bfg
bfh	bfh
bfi	bfi
bfj	bfj
bfk	bfk
bfl	bfl
bfm	bfm
bfn	bfn
bfo	bfo
bfp	bfp
bfq	bfq
bfr	bfr
bfs	bfs
bft	bft
bfu	bfu
bfw	bfw
bfx	bfx
bfy	bfy
bfz	bfz
bg	bul
bga	bga
bgb	bgb
bgc	bgc
bgd	bgd
bge	bge
bgf	bgf
bgg	bgg
bgi	bgi
bgj	bgj
bgk	bgk
bgl	bgl
bgn	bgn
bgo	bgo
bgp	bgp
bgq	bgq
bgr	bgr
bgs	bgs
bgt	bgt
bgu	bgu
bgv	bgv
bgw	bgw
bgx	bgx
bgy	bgy
bgz	bgz
bha	bha
bhb	bhb
bhc	bhc
bhd	bhd
bhe	bhe
bhf	bhf
bhg	bhg
bhh	bhh
bhi	bhi
bhj	bhj
bhl	bhl
bhm	bhm
bhn	bhn
bho	bho
bhp	bhp
bhq	bhq
bhr	bhr
bhs	bhs
bht	bht
bhu	bhu
bhv	bhv
bhw	bhw
bhx	bhx
bhy	bhy
bhz	bhz
bi	bis
bia	bia
bib	bib
bid	bid
bie	bie
bif	bif
big	big
bih	bih
bik	bik
bil	bil
bim	bim
bin	bin
bio	bio
bip	bip
biq	biq
bir	bir
