# dataset: parent-locales
# source: cldr
# authority: Unicode Consortium
# origin: common/supplemental/supplementalData.xml parentLocales
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: locale,parent
en-150	en-001
en-AG	en-001
en-AI	en-001
en-AT	en-150
en-AU	en-001
en-BB	en-001
en-BE	en-150
en-BM	en-001
en-BS	en-001
en-BW	en-001
en-BZ	en-001
en-CC	en-001
en-CH	en-150
en-CK	en-001
en-CM	en-001
en-CX	en-001
en-CY	en-001
en-CZ	en-150
en-DE	en-150
en-DG	en-001
en-DK	en-150
en-DM	en-001
en-EE	en-150
en-ER	en-001
en-ES	en-150
en-FI	en-150
en-FJ	en-001
en-FK	en-001
en-FM	en-001
en-FR	en-150
en-GB	en-001
en-GD	en-001
en-GE	en-150
en-GG	en-001
en-GH	en-001
en-GI	en-001
en-GM	en-001
en-GS	en-001
en-GY	en-001
en-HK	en-001
en-HU	en-150
en-ID	en-001
en-IE	en-001
en-IL	en-001
en-IM	en-001
en-IN	en-001
en-IO	en-001
en-IT	en-150
en-JE	en-001
en-JM	en-001
en-KE	en-001
en-KI	en-001
en-KN	en-001
en-KY	en-001
en-LC	en-001
en-LR	en-001
en-LS	en-001
en-LT	en-150
en-LV	en-150
en-MG	en-001
en-MO	en-001
en-MS	en-001
en-MT	en-001
en-MU	en-001
en-MV	en-001
en-MW	en-001
en-MY	en-001
en-NA	en-001
en-NF	en-001
en-NG	en-001
en-NL	en-150
en-NO	en-150
en-NR	en-001
en-NU	en-001
en-NZ	en-001
en-PG	en-001
en-PK	en-001
en-PL	en-150
en-PN	en-001
en-PT	en-150
en-PW	en-001
en-RO	en-150
en-RW	en-001
en-SB	en-001
en-SC	en-001
en-SD	en-001
en-SE	en-150
en-SG	en-001
en-SH	en-001
en-SI	en-150
en-SK	en-150
en-SL	en-001
en-SS	en-001
en-SX	en-001
en-SZ	en-001
en-TC	en-001
en-TK	en-001
en-TO	en-001
en-TT	en-001
en-TV	en-001
en-TZ	en-001
en-UA	en-150
en-UG	en-001
en-VC	en-001
en-VG	en-001
en-VU	en-001
en-WS	en-001
en-ZA	en-001
en-ZM	en-001
en-ZW	en-001
es-AR	es-419
es-BO	es-419
es-BR	es-419
es-BZ	es-419
es-CL	es-419
es-CO	es-419
es-CR	es-419
es-CU	es-419
es-DO	es-419
es-EC	es-419
es-GT	es-419
es-HN	es-419
es-JP	es-419
es-MX	es-419
es-NI	es-419
es-PA	es-419
es-PE	es-419
es-PR	es-419
es-PY	es-419
es-SV	es-419
es-US	es-419
es-UY	es-419
es-VE	es-419
hi-Latn	en-IN
ht	fr-HT
nb	no
nn	no
no-NO	no
pt-AO	pt-PT
pt-CH	pt-PT
pt-CV	pt-PT
pt-FR	pt-PT
pt-GQ	pt-PT
pt-GW	pt-PT
pt-LU	pt-PT
pt-MO	pt-PT
pt-MZ	pt-PT
pt-ST	pt-PT
pt-TL	pt-PT
zh-Hant-MO	zh-Hant-HK
