# dataset: phone-mobile
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,lengths,pattern
001	870	12 9	(?:[356]|774[45])\d{8}|7[6-8]\d{7}
001	881	10 9	6\d{9}|[0-36-9]\d{8}
001	882	12 [7-10]	342\d{4}|(?:337|49)\d{6}|(?:3(?:2|47|7\d{3})|5(?:0\d{3}|2[0-2]))\d{7}
AC	247	5	[2-47]\d{4}
AD	376	6 9	690\d{6}|[356]\d{5}
AE	971	9	5[02-68]\d{7}
AF	93	9	7\d{8}
AG	1	10	268(?:464|7(?:1[3-9]|[28]\d|3[0246]|64|7[0-689]))\d{4}
AI	1	10	264(?:235|4(?:69|7[67])|5(?:3[6-9]|8[1-4])|7(?:29|72))\d{4}
AL	355	9	6(?:[78][2-9]|9\d)\d{6}
AM	374	8	(?:33|4[1349]|55|77|88|9[13-9])\d{6}
AO	244	9	9[1-79]\d{7}
AR	54	10 11	93(?:7(?:1[15]|81)|8(?:21|4[16]|69|9[12]))[46]\d{5}|9(?:2(?:2(?:2[59]|44|52)|3(?:26|44)|47[35]|9(?:[07]2|2[26]|34|46))|3327)[45]\d{5}|9(?:2(?:657|9(?:54|66))|3(?:48[27]|7(?:55|77)|8(?:65|78)))[2-8]\d{5}|9(?:2(?:284|3(?:02|23)|477|622|920)|3(?:4(?:46|89|92)|541))[2-7]\d{5}|(?:675\d|9(?:11[1-8]\d|2(?:2(?:0[45]|1[2-6]|3[3-6])|3(?:[06]4|7[45])|494|6(?:04|1[2-8]|[36][45]|4[3-6])|80[45]|9(?:[17][4-6]|[48][45]|9[3-6]))|3(?:364|4(?:1[2-8]|[25][4-6]|3[3-6]|84)|5(?:1[2-9]|[38][4-6])|6(?:2[45]|44)|7[069][45]|8(?:0[45]|1[2-7]|3[4-6]|5[3-6]|7[2-6]|8[3-68]))))\d{6}|9(?:2(?:2(?:62|81)|320|9(?:42|83))|3(?:329|4(?:62|7[16])|5(?:43|64)|7(?:18|5[17])))[2-6]\d{5}|92(?:2(?:21|4[23]|6[145]|7[1-4]|8[356]|9[267])|3(?:16|3[13-8]|43|5[346-8]|9[3-5])|6(?:2[46]|4[78]|5[1568])|9(?:03|2[1457-9]|3[1356]|4[08]|[56][23]|82))4\d{5}|9(?:2(?:257|3(?:24|46|92)|9(?:01|23|64))|3(?:4(?:42|64)|5(?:25|37|4[47]|71)|7(?:35|72)|825))[3-6]\d{5}|9(?:2(?:2(?:02|2[3467]|4[156]|5[45]|6[6-8]|91)|3(?:1[47]|25|[45][25]|96)|47[48]|625|932)|3(?:38[2578]|4(?:0[0-24-9]|3[78]|4[457]|58|6[035-9]|72|83|9[136-8])|5(?:2[124]|[368][23]|4[2689]|7[2-6])|7(?:16|2[15]|3[14]|4[13]|5[468]|7[3-5]|8[26])|8(?:2[67]|3[278]|4[3-5]|5[78]|6[1-378]|[78]7|94)))[4-6]\d{5}
AS	1	10	684(?:2(?:48|5[2468]|7[246])|7(?:3[13]|70|82))\d{4}
AT	43	[7-13]	6(?:485|(?:5[0-3579]|6[013-9]|[7-9]\d)\d)\d{3,9}
AU	61	9	4(?:79[01]|83[0-36-9]|95[0-3])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-47-9])\d{6}
AW	297	7	(?:290|5[69]\d|6(?:[03]0|22|4[0-2]|[69]\d)|7(?:[34]\d|7[07])|9(?:6[45]|9[4-8]))\d{4}
AX	358	[6-10]	4946\d{2,6}|(?:4[0-8]|50)\d{4,8}
AZ	994	9	36554\d{4}|(?:[16]0|4[04]|5[015]|7[07]|99)\d{7}
BA	387	8 9	6040\d{5}|6(?:03|[1-356]|44|7\d)\d{6}
BB	1	10	246(?:(?:2(?:[3568]\d|4[0-57-9])|3(?:5[2-9]|6[0-6])|4(?:46|5\d)|69[5-7]|8(?:[2-5]\d|83))\d|52(?:1[147]|20))\d{3}
BD	880	10	(?:1[13-9]\d|644)\d{7}|(?:3[78]|44|66)[02-9]\d{7}
BE	32	9	4[5-9]\d{7}
BF	226	8	(?:0[1-7]|4[4-6]|5[0-8]|[67]\d)\d{6}
BG	359	8 9	(?:43[07-9]|99[69]\d)\d{5}|(?:8[7-9]|98)\d{7}
BH	973	8	(?:3(?:[0-79]\d|8[0-57-9])\d|6(?:3(?:00|33|6[16])|441|6(?:3[03-9]|[69]\d|7[0-689])))\d{4}
BI	257	8	(?:29|6[1-9]|7[125-9])\d{6}
BJ	229	10	01(?:2[5-9]|[4-69]\d)\d{6}
BL	590	9	(?:69(?:0\d\d|1(?:2[2-9]|3[0-5]))|7090[0-4])\d{4}
BM	1	10	441(?:[2378]\d|5[0-39]|9[02])\d{5}
BN	673	7	(?:22[89]|[78]\d\d)\d{4}
BO	591	8	(?:57|[67]\d)\d{6}
BQ	599	7	(?:31(?:8[14-8]|9[14578])|416[14-9]|7(?:0[01]|7[07]|8\d|9[056])\d)\d{3}
BR	55	10 11	(?:[14689][1-9]|2[12478]|3[1-578]|5[13-5]|7[13-579])(?:7|9\d)\d{7}
BS	1	10	242(?:3(?:5[79]|7[56]|95)|4(?:[23][1-9]|4[1-35-9]|5[1-8]|6[2-8]|7\d|81)|5(?:2[45]|3[35]|44|5[1-46-9]|65|77)|6[34]6|7(?:27|38)|8(?:0[1-9]|1[02-9]|2\d|3[0-4]|[89]9))\d{4}
BT	975	8	(?:1[67]|[78]7)\d{6}
BW	267	8	(?:321|7(?:[1-8]\d|9[03]))\d{5}
BY	375	9	(?:2(?:5[5-79]|9[1-9])|(?:33|44)\d)\d{6}
BZ	501	7	6[0-35-7]\d{5}
CA	1	10	(?:2(?:04|[23]6|[48]9|5[07]|63)|3(?:06|43|54|6[578]|82)|4(?:03|1[68]|[26]8|3[178]|50|74)|5(?:06|1[49]|48|79|8[147])|6(?:04|[18]3|39|47|72)|7(?:0[59]|42|53|78|8[02])|8(?:[06]7|19|25|7[39])|9(?:0[25]|42))[2-9]\d{6}
CC	61	9	4(?:79[01]|83[0-36-9]|95[0-3])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-47-9])\d{6}
CD	243	7 9	88\d{5}|(?:8[0-69]|9[016-9])\d{7}
CF	236	8	7[02-7]\d{6}
CG	242	9	026(?:1[0-5]|6[6-9])\d{4}|0(?:[14-6]\d\d|2(?:40|5[5-8]|6[07-9]))\d{5}
CH	41	9	(?:6[89]|7[235-9])\d{7}
CI	225	10	0[157]\d{8}
CK	682	5	[578]\d{4}
CL	56	9	2(?:1982[0-6]|3314[05-9])\d{3}|(?:2(?:1(?:160|962)|3(?:(?:[24]\d|50)\d|3(?:[034679]\d|1[0-35-9]|2[1-9]|5[0-24-9]|8[0-389])|600)|646[59])|80[1-8]\d\d|9(?:(?:10[0-2]|7[1-9]\d)\d|3(?:[0-57-9]\d\d|6(?:0[02-9]|[1-9]\d))|6(?:[0-8]\d\d|9(?:[02-79]\d|1[05-9]))|9(?:[03-9]\d\d|1(?:[0235-9]\d|4[0-24-9])|2(?:[0-79]\d|8[0-46-9]))))\d{4}|(?:22|3[2-5]|[47][1-35]|5[1-3578]|6[13-57]|8[1-9]|9[2458])\d{7}
CM	237	9	(?:24[23]|6(?:[25-9]\d|4[0-2]))\d{6}
CN	86	11	1(?:610\d|740[0-5])\d{6}|1(?:[38]\d|4[57]|[59][0-35-9]|6[25-7]|7[0-35-8])\d{8}
CO	57	10	333301[0-5]\d{3}|3333(?:00|2[5-9]|[3-9]\d)\d{4}|(?:3(?:(?:0[0-5]|1\d|5[01]|70)\d|2(?:[0-3]\d|4[1-9])|3(?:00|3[0-24-9]))|9(?:101|408))\d{6}
CR	506	8	(?:3005\d|6500[01])\d{3}|(?:5[07]|6[0-4]|7[0-3]|8[3-9])\d{6}
CU	53	8	(?:5\d|6[2-4])\d{6}
CV	238	7	(?:36|5[1-389]|9\d)\d{5}
CW	599	7 8	953[01]\d{4}|9(?:5[12467]|6[5-9])\d{5}
CX	61	9	4(?:79[01]|83[0-36-9]|95[0-3])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-47-9])\d{6}
CY	357	8	9(?:10|[4-79]\d)\d{5}
CZ	420	9	7060\d{5}|(?:60[1-8]|7(?:0[2-5]|19|[2379]\d))\d{6}
DE	49	10 11	1(?:6[023]|7\d)\d{7,8}|15(?:[0-25-9]\d\d|3(?:10|33))\d{6}
DJ	253	8	77\d{6}
DK	45	8	(?:2[6-8]|37|6[78]|96)\d{6}|(?:2[0-59]|3[0-689]|[457]\d|6[0-69]|8[126-9]|9[1-47-9])[1-9]\d{5}
DM	1	10	767(?:2(?:[2-4689]5|7[5-7])|31[5-7]|61[1-8]|70[1-6])\d{4}
