# dataset: phone
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,main,trunk,lengths
001	800			8
001	808			8
001	870			12 9
001	878			12
001	881			10 9
001	882			11 12 [7-10] [7-12]
001	883			[8-12]
001	888			11
001	979			9
AC	247			5 6
AD	376			6 8 9
AE	971		0	8 9 [5-12]
AF	93		0	9
AG	1		1	10
AI	1		1	10
AL	355		0	6 7 8 9
AM	374		0	8
AO	244			9
AR	54		0	10 11
AS	1		1	10
AT	43		0	[4-13] [5-13] [7-13] [8-13] [9-13]
AU	61	main	0	10 12 6 7 8 9 [5-9] [6-8]
AW	297			7
AX	358		0	8 9 [5-12] [6-10] [6-9] [7-9]
AZ	994		0	9
BA	387		0	8 9
BB	1		1	10
BD	880		0	10 [6-10]
BE	32		0	8 9
BF	226			8
BG	359		0	12 8 9 [6-8]
BH	973			8
BI	257			8
BJ	229			10 8
BL	590		0	9
BM	1		1	10
BN	673			7
BO	591		0	8 9
BQ	599			7
BR	55		0	10 11 8 9 [8-10]
BS	1		1	10
BT	975			7 8
BW	267			10 7 8
BY	375		8	10 9 [6-11]
BZ	501			11 7
CA	1		1	10 7
CC	61		0	10 12 6 7 8 9
CD	243		0	7 9 [7-10]
CF	236			8
CG	242			9
CH	41		0	12 9
CI	225			10
CK	682			5
CL	56			10 11 9
CM	237			8 9
CN	86		0	10 11 12 8 [10-12] [7-11]
CO	57		0	10 11 8
CR	506			10 8
CU	53		0	10 8 [6-8]
CV	238			7
CW	599	main		7 8
CX	61		0	10 12 6 7 8 9
CY	357			8
CZ	420			9 [9-12]
DE	49		0	10 11 12 13 [10-15] [4-14] [5-15] [7-14] [8-14]
DJ	253			8
DK	45			8
DM	1		1	10
DO	1		1	10
DZ	213		0	8 9
EC	593		0	10 11 8 9
EE	372			10 7 8
EG	20		0	10 8 9
EH	212		0	9
ER	291		0	7
ES	34			9
ET	251		0	9
FI	358	main	0	8 9 [5-12] [5-9] [6-10] [7-9]
FJ	679			11 7
FK	500			5
FM	691			7
FO	298			6
FR	33		0	9
GA	241			7 8
GB	44	main	0	10 7 9
GD	1		1	10
GE	995		0	9
GF	594		0	9
GG	44		0	10 7 9
GH	233		0	8 9
GI	350			8
GL	299			6
GM	220			7
GN	224			8 9
GP	590	main	0	9
GQ	240			9
GR	30			10 [10-12]
GT	502			11 8
GU	1		1	10
GW	245			7 9
GY	592			7
HK	852			11 8 9 [5-8]
HN	504			11 8
HR	385		0	7 8 9 [7-9]
HT	509			8
HU	36		06	8 9
ID	62		0	10 7 [10-17] [7-11] [8-17] [9-12]
IE	353		0	10 9 [7-10]
IL	972		0	10 11 12 7 8 9
IM	44		0	10
IN	91		0	10 11 13 [8-13]
IO	246			7
IQ	964		0	10 8 9
IR	98		0	10 4 5 6 7
IS	354			7 9
IT	39	main		10 11 12 6 9 [6-12] [8-10]
JE	44		0	10
JM	1		1	10
JO	962		0	8 9
JP	81		0	10 9 [8-17]
KE	254		0	10 9 [7-9]
KG	996		0	10 9
KH	855		0	10 8 9
KI	686		0	5 8
