# dataset: scripts
# source: iso-15924
# authority: Unicode Consortium, ISO 15924 Registration Authority
# origin: iso15924.txt joined with CLDR common/properties/scriptMetadata.txt
# pin: 2026-07-26
# published: 2026-07-26
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: on ISO 15924 amendment
# compiled-in: true
# columns: code,numeric,direction
Adlm	166	rtl
Afak	439	ltr
Aghb	239	ltr
Ahom	338	ltr
Arab	160	rtl
Aran	161	ltr
Armi	124	rtl
Armn	230	ltr
Avst	134	rtl
Bali	360	ltr
Bamu	435	ltr
Bass	259	ltr
Batk	365	ltr
Beng	325	ltr
Berf	258	ltr
Bhks	334	ltr
Blis	550	ltr
Bopo	285	ltr
Brah	300	ltr
Brai	570	ltr
Bugi	367	ltr
Buhd	372	ltr
Cakm	349	ltr
Cans	440	ltr
Cari	201	ltr
Cham	358	ltr
Cher	445	ltr
Chis	298	ltr
Chrs	109	rtl
Cirt	291	ltr
Copt	204	ltr
Cpmn	402	ltr
Cprt	403	rtl
Cyrl	220	ltr
Cyrs	221	ltr
Deva	315	ltr
Diak	342	ltr
Dogr	328	ltr
Dsrt	250	ltr
Dupl	755	ltr
Egyd	070	ltr
Egyh	060	ltr
Egyp	050	ltr
Elba	226	ltr
Elym	128	rtl
Ethi	430	ltr
Gara	164	rtl
Geok	241	ltr
Geor	240	ltr
Glag	225	ltr
Gong	312	ltr
Gonm	313	ltr
Goth	206	ltr
Gran	343	ltr
Grek	200	ltr
Gujr	320	ltr
Gukh	397	ltr
Guru	310	ltr
Hanb	503	ltr
Hang	286	ltr
Hani	500	ltr
Hano	371	ltr
Hans	501	ltr
Hant	502	ltr
Hatr	127	rtl
Hebr	125	rtl
Hira	410	ltr
Hluw	080	ltr
Hmng	450	ltr
Hmnp	451	ltr
Hntl	504	ltr
Hrkt	412	ltr
Hung	176	rtl
Inds	610	ltr
Ital	210	ltr
Jamo	284	ltr
Java	361	ltr
Jpan	413	ltr
Jurc	510	ltr
Kali	357	ltr
Kana	411	ltr
Kawi	368	ltr
Khar	305	rtl
Khmr	355	ltr
Khoj	322	ltr
Kitl	505	ltr
Kits	288	ltr
Knda	345	ltr
Kore	287	ltr
Kpel	436	ltr
Krai	396	ltr
Kthi	317	ltr
Lana	351	ltr
Laoo	356	ltr
Latf	217	ltr
Latg	216	ltr
Latn	215	ltr
Leke	364	ltr
Lepc	335	ltr
Limb	336	ltr
Lina	400	ltr
Linb	401	ltr
Lisu	399	ltr
Loma	437	ltr
Lyci	202	ltr
Lydi	116	rtl
Mahj	314	ltr
Maka	366	ltr
Mand	140	rtl
Mani	139	rtl
Marc	332	ltr
Maya	090	ltr
Medf	265	ltr
Mend	438	rtl
Merc	101	rtl
Mero	100	rtl
Mlym	347	ltr
Modi	324	ltr
Mong	145	ltr
Moon	218	ltr
Mroo	264	ltr
Mtei	337	ltr
Mult	323	ltr
Mymr	350	ltr
Nagm	295	ltr
Nand	311	ltr
Narb	106	rtl
Nbat	159	rtl
Newa	333	ltr
Nkdb	085	ltr
Nkgb	420	ltr
Nkoo	165	rtl
Nshu	499	ltr
Ogam	212	ltr
Olck	261	ltr
Onao	296	ltr
Orkh	175	rtl
Orya	327	ltr
Osge	219	ltr
Osma	260	ltr
Ougr	143	rtl
Palm	126	rtl
Pauc	263	ltr
Pcun	015	ltr
Pelm	016	ltr
Perm	227	ltr
Phag	331	ltr
Phli	131	rtl
Phlp	132	rtl
Phlv	133	ltr
Phnx	115	rtl
Piqd	293	ltr
Plrd	282	ltr
Prti	130	rtl
Psin	103	ltr
Qaaa	900	ltr
Qabx	949	ltr
Ranj	303	ltr
Rjng	363	ltr
Rohg	167	rtl
Roro	620	ltr
Runr	211	ltr
Samr	123	rtl
Sara	292	ltr
Sarb	105	rtl
Saur	344	ltr
Seal	590	ltr
Sgnw	095	ltr
Shaw	281	ltr
Shrd	319	ltr
Shui	530	ltr
Sidd	302	ltr
Sidt	180	rtl
Sind	318	ltr
Sinh	348	ltr
Sogd	141	rtl
Sogo	142	rtl
Sora	398	ltr
Soyo	329	ltr
Sund	362	ltr
Sunu	274	ltr
Sylo	316	ltr
Syrc	135	rtl
Syre	138	ltr
Syrj	137	ltr
Syrn	136	ltr
Tagb	373	ltr
Takr	321	ltr
Tale	353	ltr
Talu	354	ltr
Taml	346	ltr
Tang	520	ltr
Tavt	359	ltr
Tayo	380	ltr
Telu	340	ltr
Teng	290	ltr
Tfng	120	ltr
Tglg	370	ltr
Thaa	170	rtl
Thai	352	ltr
Tibt	330	ltr
Tirh	326	ltr
Tnsa	275	ltr
Todr	229	ltr
Tols	299	ltr
Toto	294	ltr
Tutg	341	ltr
Ugar	040	ltr
Vaii	470	ltr
Visp	280	ltr
Vith	228	ltr
Wara	262	ltr
Wcho	283	ltr
Wole	480	ltr
Xpeo	030	ltr
Xsux	020	ltr
Yezi	192	rtl
Yiii	460	ltr
Zanb	339	ltr
Zinh	994	ltr
Zmth	995	ltr
Zsye	993	ltr
Zsym	996	ltr
Zxxx	997	ltr
Zyyy	998	ltr
Zzzz	999	ltr
